ZipCode,SalePrice,Acreage,LandValue,BuildingValue,TotalValue,FinishedArea,YearBuilt,Bedrooms,FullBath,HalfBath,Parks Per Zip,Acres of Parks Per Zip,ADA Park in Zip,Sports Fields in Zip,Walk Path in Zip
37013,139000,0.23,25000,95000,120000,1478,1996,3,2,0,5,327.44,True,True,True
37013,105000,0.36,24000,83800,107800,1300,1972,3,1,1,5,327.44,True,True,True
37013,132800,0.32,24000,86900,117200,1350,1972,3,1,0,5,327.44,True,True,True
37013,130000,0.37,24000,86500,110500,1920,1983,4,4,0,5,327.44,True,True,True
37013,118000,0.42,24000,99000,123000,2314,1976,4,2,0,5,327.44,True,True,True
37013,150000,0.94,25000,105900,130900,1894,1993,3,3,0,5,327.44,True,True,True
37013,92000,0.32,22000,72500,94500,1175,1971,3,1,0,5,327.44,True,True,True
37013,121000,0.25,27500,91800,119300,1460,1978,3,2,0,5,327.44,True,True,True
37013,120000,0.4,27500,104800,132300,1904,1986,3,3,0,5,327.44,True,True,True
37013,67320,0.15,11900,59300,71200,1288,1986,3,1,1,5,327.44,True,True,True
37013,127000,0.36,27500,85500,113000,1666.5,1986,3,2,0,5,327.44,True,True,True
37013,112000,0.45,22500,88200,110700,1214,2001,3,2,0,5,327.44,True,True,True
37013,136900,0.23,27500,93200,120700,1516,1996,3,2,0,5,327.44,True,True,True
37013,160000,0.23,27500,102600,130100,1680,1997,3,2,0,5,327.44,True,True,True
37013,135700,0.19,15000,94500,109500,2080,1978,4,1,1,5,327.44,True,True,True
37013,41000,0.39,17000,77000,94000,1222,1975,3,1,0,5,327.44,True,True,True
37013,119500,0.4,24000,88400,112400,2100,1973,3,1,0,5,327.44,True,True,True
37013,135000,0.26,24000,90800,114800,1748,1973,3,1,1,5,327.44,True,True,True
37013,91000,0.18,18000,45300,63300,1438.375,1985,2,2,0,5,327.44,True,True,True
37013,47800,0.17,14000,56500,70500,1074,1984,3,2,0,5,327.44,True,True,True
37013,137500,0.25,25000,97900,123400,1782.75,1991,3,3,0,5,327.44,True,True,True
37013,124000,0.23,25000,129200,154200,1747,1997,3,2,0,5,327.44,True,True,True
37013,94500,0.34,17500,70600,88100,1075,1966,3,1,0,5,327.44,True,True,True
37013,130000,0.24,33000,123500,156500,2256,1997,3,3,0,5,327.44,True,True,True
37013,90000,0.2,14500,67900,82400,1440,1994,3,3,0,5,327.44,True,True,True
37013,132500,0.25,26000,95800,121800,1738,1986,3,2,0,5,327.44,True,True,True
37013,143500,0.25,27500,106600,134100,1744,1987,3,2,0,5,327.44,True,True,True
37013,179900,0.26,29500,129600,159100,2432,1987,3,3,0,5,327.44,True,True,True
37013,127000,0.55,22000,94900,116900,1648,1974,3,2,0,5,327.44,True,True,True
37013,120500,0.3,22000,96800,118800,1633,1976,3,2,0,5,327.44,True,True,True
37013,168300,0.39,22500,105400,127900,1771,1995,3,3,0,5,327.44,True,True,True
37013,89900,0.2,27500,71000,98500,1260,1986,3,2,0,5,327.44,True,True,True
37013,109200,0.23,27500,72400,99900,1222,1984,3,2,0,5,327.44,True,True,True
37013,121000,0.24,27500,92600,120100,1399,1993,3,2,0,5,327.44,True,True,True
37013,112500,0.65,27500,82400,109900,1180,1987,3,2,0,5,327.44,True,True,True
37013,148000,0.21,27500,112100,139600,1874,1997,3,3,0,5,327.44,True,True,True
37013,164900,0.29,25000,102800,127800,1730,1989,3,2,0,5,327.44,True,True,True
37013,67814,0.23,17000,109800,126800,2864,1970,4,3,0,5,327.44,True,True,True
37013,130000,0.34,24000,83100,107100,1186,1969,3,1,1,5,327.44,True,True,True
37013,127000,0.26,24000,76300,100300,1708,1980,4,2,0,5,327.44,True,True,True
37013,174900,0.24,25000,96800,123700,1788,1979,3,2,0,5,327.44,True,True,True
