,School Level,School Name,Zip Code,Rank,Great schools rating,Total Enrollment,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Students with Disabilities
144,Middle School,Thurgood Marshall Middle,37013,3.0,Below Average,882,10%,8%,40%,34%,10%,18%,13%
145,Elementary School,Tom Joy Elementary,37207,6.0,Average,333,10%,10%,55%,32%,10%,12%,15%
146,Alternative Learning Center,Transitions at Bass,37209,,Unranked,21,10%,10%,81%,10%,10%,10%,10%
147,Elementary School,Tulip Grove Elementary,37076,5.0,Average,483,10%,5%,40%,27%,10%,29%,18%
148,Elementary School,Tusculum Elementary,37211,5.0,Average,694,10%,9%,15%,64%,10%,11%,7%
149,Middle School,Two Rivers Middle,37214,3.0,Below Average,387,10%,10%,46%,28%,10%,25%,17%
150,Elementary School,Una Elementary,37217,3.0,Below Average,677,10%,5%,26%,43%,10%,27%,8%
151,Charter,Valor Flagship Academy,37211,10.0,Above Average,1167,10%,6%,18%,21%,10%,54%,10%
152,Charter,Valor Voyager Academy,37211,10.0,Above Average,529,10%,5%,18%,30%,10%,47%,12%
153,Adult,W. A. Bass Adult Program,37209,,Unranked,243,10%,10%,68%,15%,10%,13%,17%
154,Alternative Learning Center,W.A. Bass Alternative Learning Center,37209,,Unranked,16,10%,10%,10%,10%,10%,10%,10%
155,Elementary School,Warner Elementary,37206,5.0,Average,233,10%,10%,81%,5%,10%,12%,20%
156,Elementary School,Waverly-Belmont Elementary School,37204,5.0,Average,479,10%,5%,43%,5%,10%,49%,14%
157,Middle School,West End Middle,37205,4.0,Below Average,478,10%,5%,41%,6%,10%,50%,22%
158,Elementary School,Westmeade Elementary,37205,6.0,Average,379,10%,7%,36%,16%,10%,41%,14%
159,High School,Whites Creek High School,37189,1.0,Below Average,519,10%,10%,82%,6%,10%,12%,22%
160,Middle School,William Henry Oliver Middle,37211,5.0,Average,910,10%,8%,30%,18%,10%,43%,11%
161,Middle School,Wright Middle,37211,3.0,Below Average,789,10%,5%,16%,69%,10%,12%,10%
