,School Year,School Level,School ID,School Name,State School ID,Zip Code,Rank,Great schools rating,Total Enrollment,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Students with Disabilities,Limited English Proficiency,DataAsOf
63,20-21,Elementary School,455,Inglewood Elementary,360,37216,2.0,Below Average,212,,7%,22%,16%,17%,17%,21%,,,,,,,,,10%,10%,75%,10%,10%,20%,47%,53%,68%,15%,10%,06/01/2021
64,20-21,Charter,457,Intrepid College Prep Charter,8048,37013,6.0,Average,859,,,,,,,,16%,15%,15%,16%,14%,12%,8%,< 5%,10%,10%,21%,69%,10%,9%,48%,52%,32%,10%,50%,06/01/2021
65,20-21,Middle School,510,Isaac Litton Middle,365,37216,4.0,Below Average,406,,,,,,,,24%,26%,24%,26%,,,,,10%,10%,37%,14%,10%,47%,55%,45%,37%,17%,10%,06/01/2021
66,20-21,Elementary School,152,Ivanetta H. Davis Learning Center at Bordeaux,7010,37218,,Unranked,112,34%,66%,,,,,,,,,,,,,,10%,10%,73%,10%,10%,13%,55%,45%,50%,47%,10%,06/01/2021
67,20-21,Elementary School,310,J.E. Moss Elementary,370,37013,4.0,Below Average,708,< 10,< 5%,18%,16%,21%,25%,16%,,,,,,,,,10%,7%,14%,71%,10%,8%,50%,50%,44%,10%,60%,06/01/2021
68,20-21,Middle School,120,Jere Baxter Middle,375,37207,2.0,Below Average,524,,,,,,,,26%,29%,24%,21%,,,,,10%,10%,57%,29%,10%,13%,55%,45%,62%,17%,28%,06/01/2021
69,20-21,Elementary School,465,Joelton Elementary,380,37080,4.0,Below Average,194,< 10,< 10,19%,21%,15%,21%,20%,,,,,,,,,10%,10%,21%,13%,10%,65%,49%,51%,46%,19%,8%,06/01/2021
70,20-21,Elementary School,790,John B. Whitsitt Elementary,390,37210,5.0,Average,436,,< 5%,16%,19%,20%,19%,21%,,,,,,,,,10%,10%,12%,72%,10%,14%,47%,53%,40%,9%,57%,06/01/2021
71,20-21,Middle School,285,John Early Middle,386,37208,3.0,Below Average,285,,,,,,,,31%,21%,21%,27%,,,,,10%,10%,85%,9%,10%,5%,54%,46%,81%,24%,7%,06/01/2021
72,20-21,Middle School,498,John F. Kennedy Middle,393,37013,2.0,Below Average,805,,,,,,,,23%,23%,27%,26%,,,,,10%,5%,39%,41%,10%,16%,48%,52%,43%,10%,41%,06/01/2021
73,20-21,High School,615,John Overton High,395,37220,3.0,Below Average,1983,,,,,,,,,,,,28%,26%,22%,24%,10%,8%,20%,44%,10%,28%,53%,47%,36%,9%,36%,06/01/2021
74,20-21,Middle School,563,John Trotwood Moore Middle,490,37204,5.0,Average,658,,,,,,,,25%,26%,25%,25%,,,,,10%,5%,32%,5%,10%,61%,57%,43%,24%,15%,5%,06/01/2021
75,20-21,Non-Traditional - Hybrid,480,Johnson Alternative Learning Center,740,37210,,Unranked,46,,,,,,,,,< 10,< 10,< 10,22%,22%,22%,< 10,10%,10%,70%,28%,10%,10%,87%,10%,83%,41%,10%,06/01/2021
76,20-21,Elementary School,485,Jones Elementary,387,37208,1.0,Below Average,269,< 10,< 10,15%,18%,19%,23%,22%,,,,,,,,,10%,10%,94%,10%,10%,10%,52%,48%,74%,12%,10%,06/01/2021
77,20-21,Elementary School,380,Julia Green Elementary,415,37215,6.0,Average,364,,,20%,22%,20%,21%,17%,,,,,,,,,10%,6%,5%,5%,10%,86%,53%,47%,5%,10%,5%,06/01/2021
